,path,emotion
0,data/train-custom\Dervla_high_emottsangry_0012_angry.wav,angry
1,data/train-custom\Dervla_high_emottsangry_0013_angry.wav,angry
2,data/train-custom\Dervla_high_emottsangry_0014_angry.wav,angry
3,data/train-custom\Dervla_high_emottsangry_0015_angry.wav,angry
4,data/train-custom\Dervla_high_emottsangry_0026_angry.wav,angry
5,data/train-custom\Dervla_high_emottsangry_0028_angry.wav,angry
6,data/train-custom\Dervla_high_emottsangry_0029_angry.wav,angry
7,data/train-custom\Dervla_high_emottsangry_0030_angry.wav,angry
8,data/train-custom\Dervla_high_emottsangry_0041_angry.wav,angry
9,data/train-custom\Dervla_high_emottsangry_0042_angry.wav,angry
10,data/train-custom\Dervla_high_emottsangry_0043_angry.wav,angry
11,data/train-custom\Dervla_high_emottsangry_0044_angry.wav,angry
12,data/train-custom\Dervla_high_emottsangry_0045_angry.wav,angry
13,data/train-custom\Dervla_high_emottsangry_0056_angry.wav,angry
14,data/train-custom\Dervla_high_emottsangry_0058_angry.wav,angry
15,data/train-custom\Dervla_high_emottsangry_0072_angry.wav,angry
16,data/train-custom\Dervla_high_emottsangry_0073_angry.wav,angry
17,data/train-custom\Dervla_high_emottsangry_0074_angry.wav,angry
18,data/train-custom\Dervla_high_emottsangry_0075_angry.wav,angry
19,data/train-custom\Dervla_high_emottsangry_0087_angry.wav,angry
20,data/train-custom\Dervla_high_emottsangry_0088_angry.wav,angry
21,data/train-custom\Dervla_high_emottsangry_0089_angry.wav,angry
22,data/train-custom\Dervla_high_emottsangry_0090_angry.wav,angry
23,data/train-custom\Dervla_high_emottsangry_0102_angry.wav,angry
24,data/train-custom\Dervla_high_emottsangry_0103_angry.wav,angry
25,data/train-custom\Dervla_high_emottsangry_0104_angry.wav,angry
26,data/train-custom\Dervla_high_emottsangry_0105_angry.wav,angry
27,data/train-custom\Dervla_high_emottsangry_0116_angry.wav,angry
28,data/train-custom\Dervla_high_emottsangry_0118_angry.wav,angry
29,data/train-custom\Dervla_high_emottsangry_0119_angry.wav,angry
30,data/train-custom\Dervla_high_emottsangry_0120_angry.wav,angry
31,data/train-custom\Dervla_high_emottsangry_0131_angry.wav,angry
32,data/train-custom\Dervla_high_emottsangry_0133_angry.wav,angry
33,data/train-custom\Dervla_high_emottsangry_0134_angry.wav,angry
34,data/train-custom\Dervla_high_emottsangry_0135_angry.wav,angry
